Date,ZoneID,AvgTemperature,Humidity,SpecialEvent,EnergyConsumption,Month,DayOfWeek,IsWeekend,Quarter,DayOfYear,ZoneEncoded,ZoneLabel
2023-01-01,Z1_Downtown,4.18,71.35,0,18320.2,1,6,1,1,1,0,Z1_Downtown
2023-01-01,Z2_Industrial,4.18,71.35,0,36872.3,1,6,1,1,1,1,Z2_Industrial
2023-01-01,Z3_Residential,4.18,71.35,0,14203.0,1,6,1,1,1,2,Z3_Residential
2023-01-01,Z4_Commercial,4.18,71.35,0,21924.8,1,6,1,1,1,3,Z4_Commercial
2023-01-01,Z5_Airport,4.18,71.35,0,32950.7,1,6,1,1,1,4,Z5_Airport
2023-01-02,Z1_Downtown,3.26,72.79,0,21100.2,1,0,0,1,2,0,Z1_Downtown
2023-01-02,Z2_Industrial,3.26,72.79,0,46429.3,1,0,0,1,2,1,Z2_Industrial
2023-01-02,Z3_Residential,3.26,72.79,0,17176.7,1,0,0,1,2,2,Z3_Residential
2023-01-02,Z4_Commercial,3.26,72.79,0,25658.9,1,0,0,1,2,3,Z4_Commercial
2023-01-02,Z5_Airport,3.26,72.79,0,38099.2,1,0,0,1,2,4,Z5_Airport
2023-01-03,Z1_Downtown,4.47,71.88,0,20472.4,1,1,0,1,3,0,Z1_Downtown
2023-01-03,Z2_Industrial,4.47,71.88,0,46000.1,1,1,0,1,3,1,Z2_Industrial
2023-01-03,Z3_Residential,4.47,71.88,0,16212.2,1,1,0,1,3,2,Z3_Residential
2023-01-03,Z4_Commercial,4.47,71.88,0,25931.0,1,1,0,1,3,3,Z4_Commercial
2023-01-03,Z5_Airport,4.47,71.88,0,38828.8,1,1,0,1,3,4,Z5_Airport
2023-01-04,Z1_Downtown,2.13,76.67,0,21169.0,1,2,0,1,4,0,Z1_Downtown
2023-01-04,Z2_Industrial,2.13,76.67,0,47043.0,1,2,0,1,4,1,Z2_Industrial
2023-01-04,Z3_Residential,2.13,76.67,0,17463.4,1,2,0,1,4,2,Z3_Residential
2023-01-04,Z4_Commercial,2.13,76.67,0,27128.0,1,2,0,1,4,3,Z4_Commercial
2023-01-04,Z5_Airport,2.13,76.67,0,38730.4,1,2,0,1,4,4,Z5_Airport
2023-01-05,Z1_Downtown,1.93,72.91,0,21454.3,1,3,0,1,5,0,Z1_Downtown
2023-01-05,Z2_Industrial,1.93,72.91,0,46268.5,1,3,0,1,5,1,Z2_Industrial
2023-01-05,Z3_Residential,1.93,72.91,0,16744.1,1,3,0,1,5,2,Z3_Residential
2023-01-05,Z4_Commercial,1.93,72.91,0,25011.7,1,3,0,1,5,3,Z4_Commercial
2023-01-05,Z5_Airport,1.93,72.91,0,39888.8,1,3,0,1,5,4,Z5_Airport
2023-01-06,Z1_Downtown,5.75,83.69,0,20942.3,1,4,0,1,6,0,Z1_Downtown
2023-01-06,Z2_Industrial,5.75,83.69,0,46566.0,1,4,0,1,6,1,Z2_Industrial
2023-01-06,Z3_Residential,5.75,83.69,0,17222.8,1,4,0,1,6,2,Z3_Residential
2023-01-06,Z4_Commercial,5.75,83.69,0,26096.3,1,4,0,1,6,3,Z4_Commercial
2023-01-06,Z5_Airport,5.75,83.69,0,39372.5,1,4,0,1,6,4,Z5_Airport
2023-01-07,Z1_Downtown,5.62,79.81,0,18318.3,1,5,1,1,7,0,Z1_Downtown
2023-01-07,Z2_Industrial,5.62,79.81,0,37621.5,1,5,1,1,7,1,Z2_Industrial
2023-01-07,Z3_Residential,5.62,79.81,0,14944.6,1,5,1,1,7,2,Z3_Residential
2023-01-07,Z4_Commercial,5.62,79.81,0,21736.3,1,5,1,1,7,3,Z4_Commercial
2023-01-07,Z5_Airport,5.62,79.81,0,32637.6,1,5,1,1,7,4,Z5_Airport
2023-01-08,Z1_Downtown,2.83,91.14,0,19289.3,1,6,1,1,8,0,Z1_Downtown
2023-01-08,Z2_Industrial,2.83,91.14,0,37711.4,1,6,1,1,8,1,Z2_Industrial
2023-01-08,Z3_Residential,2.83,91.14,0,16405.4,1,6,1,1,8,2,Z3_Residential
2023-01-08,Z4_Commercial,2.83,91.14,0,23140.5,1,6,1,1,8,3,Z4_Commercial
2023-01-08,Z5_Airport,2.83,91.14,0,34344.1,1,6,1,1,8,4,Z5_Airport
2023-01-09,Z1_Downtown,5.86,85.44,1,23125.5,1,0,0,1,9,0,Z1_Downtown
2023-01-09,Z2_Industrial,5.86,85.44,1,50595.8,1,0,0,1,9,1,Z2_Industrial
2023-01-09,Z3_Residential,5.86,85.44,1,20695.6,1,0,0,1,9,2,Z3_Residential
